trial_id,position,was_clicked,n_fixations,total_dwell_ms,click_pos,entry_t,exit_t,min_dist,mean_dist,final_dist,retreat_dist,dwell_in_proximity_ms,mean_approach_velocity,max_approach_velocity,direction_changes,frac_decreasing,etype,four_class_label
p044-b6-t1,1,False,17,3207.0,8,1678289044632,1678289054815,113.84916782422745,383.7165533414192,258.25047973833387,144.40131191410643,884.0,125.86607142857142,569.3303571428572,1,0.75,organic,not_approached
p044-b6-t1,2,False,18,5038.0,8,1678289046502,1678289056804,61.373791605268664,236.91586117083918,127.21663421958885,65.84284261432019,3365.0,-28.70362484737487,53.95833333333343,5,0.5882352941176471,organic,deferred
p044-b6-t1,3,False,7,1506.0,8,1678289047701,1678289052731,107.36894257344056,350.0722797062294,400.425053584495,293.05611101105444,107.0,349.3174603174602,712.535714285714,0,0.5,organic,not_approached
p044-b6-t1,4,False,10,1885.0,8,1678289057112,1678289063429,166.97110935561608,559.0476885617022,915.7035546507395,748.7324452951234,0,0,0,0,0.3333333333333333,organic,not_approached
p044-b6-t1,5,False,2,368.0,8,1678289058056,1678289058291,129.01861262405754,133.6836211194218,138.34862961478606,9.330016990728524,368.0,0,0,0,0.5,organic,not_approached
p044-b6-t1,6,False,6,1118.0,8,1678289058793,1678289060026,161.5386378847383,389.2499140442845,528.899777982538,367.3611400977997,154.0,-10.803571428571388,12.142857142857224,1,0.2,organic,not_approached
p044-b6-t1,7,False,7,1838.0,8,1678289060241,1678289061956,175.42965114255912,246.82725713105225,281.00177935379696,105.57212821123784,0,-109.0810074428498,113.01136363636374,1,0.6666666666666666,native_ad,not_approached
p044-b6-t1,8,True,3,546.0,8,1678289062150,1678289062542,245.41597340026587,254.51696494917644,245.41597340026587,0.0,546.0,0,0,0,0.5,native_ad,clicked
p044-b6-t10,0,True,27,5146.0,0,1678289399586,1678289410257,51.500687397950756,249.9254324754424,421.5412198113015,370.0405324133508,4739.0,30.608630952380956,250.1190476190476,1,0.46153846153846156,organic,clicked
p044-b6-t10,1,False,7,1557.0,0,1678289404074,1678289406439,308.3657005720158,370.46074741381625,408.1298812878077,99.7641807157919,0,0,0,0,0.3333333333333333,organic,not_approached
p044-b6-t10,2,False,5,1372.0,0,1678289406693,1678289407866,536.0037313302959,605.7870391243193,623.9294831950162,87.92575186472038,0,0,0,0,0.5,organic,not_approached
p044-b6-t10,3,False,1,321.0,0,1678289408214,1678289408214,751.1165022817698,751.1165022817698,751.1165022817698,0,0,0,0,0,0.5,organic,not_approached
p044-b6-t2,0,False,14,2145.0,5,1678289076374,1678289089094,48.05205510693585,272.07023416952717,428.0143363347444,379.9622812278086,1845.0,-16.18581210456206,110.25641025641029,3,0.46153846153846156,dd_top,deferred
p044-b6-t2,1,False,19,4733.0,5,1678289078082,1678289095805,184.28464323276222,419.3902838396261,735.5460556620503,551.2614124292882,261.0,3.75,3.75,0,0.5555555555555556,organic,not_approached
p044-b6-t2,2,False,16,2769.0,5,1678289081625,1678289103529,334.19982556917523,518.2331497721862,674.092723592237,339.8928980230618,0,-1.458333333333286,3.333333333333428,1,0.6,organic,not_approached
p044-b6-t2,3,False,15,2933.0,5,1678289082676,1678289103402,282.36324123369883,456.34041577502103,427.25753357898793,144.8942923452891,0,6.1666666666667425,7.5,0,0.6428571428571429,organic,not_approached
p044-b6-t2,4,False,15,3491.0,5,1678289084124,1678289102337,118.33004690272035,318.7194417351312,200.4855551901824,82.15550828746204,173.0,31.802922193099903,468.20574162679463,4,0.5,organic,not_approached
p044-b6-t2,5,True,3,583.0,5,1678289094179,1678289096395,151.6047492659778,389.8328727384253,780.2386565090909,628.6339072431131,0,447.3295454545453,447.3295454545453,0,0.0,organic,clicked
p044-b6-t2,6,False,5,1190.0,5,1678289097199,1678289098103,465.0029532316886,468.66438224032964,465.0029532316886,0.0,648.0,0,0,0,0.75,organic,not_approached
p044-b6-t2,7,False,3,1272.0,5,1678289098801,1678289099637,448.78843606043534,494.19125413143655,553.9002120810419,105.11177602060656,703.0,0,0,0,0.5,native_ad,not_approached
p044-b6-t2,8,False,4,1163.0,5,1678289099778,1678289100830,611.2538245598945,810.1710850188449,1006.4608297724646,395.20700521257015,0,0,0,0,0.0,organic,not_approached
p044-b6-t3,0,False,17,2967.0,2,1678289116361,1678289130429,220.15397621893294,449.3943660249262,650.0723036709071,429.91832745197416,2272.0,1.25,2.5,1,0.4375,dd_top,not_approached
p044-b6-t3,1,False,16,3307.0,2,1678289119369,1678289130991,278.3729916700783,454.83543538891934,443.9481951759687,165.57520350589039,0,22.533730158730165,108.00000000000011,0,0.5333333333333333,native_ad,not_approached
p044-b6-t3,2,True,14,3218.0,2,1678289122531,1678289130911,91.25770591511103,342.0962883258289,189.02380802428036,97.76610210916932,93.0,160.26580376967377,472.2445820433438,0,0.8461538461538461,organic,clicked
p044-b6-t3,3,False,8,1273.0,2,1678289126161,1678289128379,169.53910393995469,291.75051242774214,323.5986125146848,154.05950857473013,234.0,29.86111111111086,29.86111111111086,0,0.2857142857142857,organic,not_approached
p044-b6-t3,4,False,4,908.0,2,1678289128667,1678289129316,385.64880396547323,431.5873365958294,490.8441707915049,105.19536682603166,0,0,0,0,0.3333333333333333,organic,not_approached
p044-b6-t3,5,False,1,455.0,2,1678289129799,1678289129799,674.4783169235317,674.4783169235317,674.4783169235317,0,0,0,0,0,0.5,organic,not_approached
p044-b6-t4,0,False,40,8259.0,1,1678289143561,1678289180109,44.78428737827032,230.77136439246843,235.2041666297602,190.41987925148987,0,75.77174214674216,532.5000000000001,2,0.41025641025641024,dd_top,deferred
